relative_time,AccX,AccY,AccZ
0,0.9198371887207032,7.986641693115235,5.827381896972657
38,0.5590873718261719,8.246201934814454,4.552483062744141
103,1.1325448608398438,9.454638977050783,4.533322906494141
170,1.5953823852539064,8.626560974121094,4.026476898193359
238,1.9812799072265626,9.059011688232422,4.779111785888672
303,0.9102571105957031,8.44678482055664,5.892496490478516
370,0.5870791625976562,7.608527984619141,4.185146942138672
438,0.4071533203125,9.164392547607422,4.663552093505859
503,0.5920188903808594,7.546856231689453,6.159840545654297
570,0.7258406066894532,6.059399414062501,7.276668090820313
638,1.6266673278808594,6.764882354736328,6.515351257324219
703,0.6878196716308594,6.695127410888672,6.803502044677734
770,0.8674461364746094,7.3832464599609375,6.271807708740234
838,1.7045054626464844,7.353458404541016,6.716383209228516
903,3.064427490234375,6.918013916015625,5.879473571777344
970,1.8817369079589845,6.3583277893066406,6.343807983398438
1038,1.5203883361816406,8.309520263671875,6.845863952636719
1103,1.148411865234375,7.973768463134766,6.5310685729980476
1170,1.0928773498535156,5.465284881591797,6.661297760009766
1238,1.7263600158691408,3.02011962890625,6.4656546020507815
1303,4.375401306152344,6.873556365966797,6.615792388916016
1370,1.0559042358398438,4.194277954101563,9.684261474609375
1438,3.569776611328125,6.4270349121093755,8.815318450927736
1503,2.8659402465820314,5.420827331542969,8.02660858154297
1570,-0.051043853759765626,5.560337219238281,13.224848785400392
1638,2.012714538574219,6.983727264404298,5.919440460205078
1703,1.3714480590820313,6.361620941162109,6.640640716552735
1770,1.1478131103515625,7.319479064941406,5.656736755371094
1838,0.967438201904297,7.610024871826172,6.4426025390625
1903,1.0798544311523437,7.4043525695800785,5.810167694091797
1970,0.7936495971679688,8.11866714477539,6.444249114990234
2038,1.3597723388671876,7.391928405761719,4.827311553955078
2103,0.9924362182617188,7.5190141296386726,5.741759948730469
2170,0.7370672607421875,7.636669464111328,5.5199212646484375
2238,1.3335768127441407,8.92429183959961,5.591472473144531
2303,1.3587245178222658,7.811356201171876,5.97557373046875
2370,1.6890875244140626,6.5976800537109375,7.691605224609376
2437,1.3151651000976563,6.741830291748047,6.774462432861329
2503,0.4912783813476563,7.416477355957031,5.382656707763672
2570,-0.000449066162109375,9.487420806884765,6.044580230712891
2638,0.9930349731445313,8.255033569335938,4.929998016357422
2703,1.533710632324219,6.997798004150391,6.728957061767579
2770,1.1157797241210938,7.498207397460938,6.339317321777344
