Registro GPS
Articolo	Data	Elapse (s)	Longitudine	Latitudine	Altitudine (m)	Corso	Velocità (km/h)	Distanza totale (km)	
1	2019-04-20 23:23:20.366	0,0	12,572610	41,851392	54,4	36,5	0,0	0,000
2	2019-04-20 23:23:24.366	4,0	12,572621	41,851362	65,9	50,1	3,2	0,004
3	2019-04-20 23:23:28.366	8,0	12,572611	41,851359	54,5	50,1	0,8	0,004
4	2019-04-20 23:23:32.366	12,0	12,572611	41,851359	54,5	50,1	0,1	0,005
5	2019-04-20 23:23:36.366	16,0	12,572629	41,851357	54,5	50,1	1,4	0,006
6	2019-04-20 23:23:40.366	20,0	12,572633	41,851359	54,5	50,1	0,3	0,006
7	2019-04-20 23:23:44.366	24,0	12,572630	41,851366	54,5	50,1	0,8	0,007
8	2019-04-20 23:23:48.366	28,0	12,572590	41,851393	54,4	50,1	4,0	0,012
9	2019-04-20 23:23:52.366	32,0	12,572584	41,851386	54,4	50,1	0,8	0,013
10	2019-04-20 23:23:56.366	36,0	12,572584	41,851386	54,4	50,1	0,0	0,013
11	2019-04-20 23:24:00.366	40,0	12,572591	41,851387	54,4	50,1	0,5	0,013
12	2019-04-20 23:24:04.366	44,0	12,572584	41,851392	54,4	48,0	0,7	0,014
13	2019-04-20 23:24:08.366	48,0	12,572600	41,851392	54,4	35,4	1,2	0,015
14	2019-04-20 23:24:12.366	52,0	12,572792	41,851533	54,2	46,6	20,1	0,038
15	2019-04-20 23:24:16.366	56,0	12,573154	41,851931	53,5	46,6	48,1	0,091
16	2019-04-20 23:24:20.366	60,0	12,573543	41,852253	53,4	39,2	43,4	0,139
17	2019-04-20 23:24:24.366	64,0	12,574128	41,852724	53,4	39,2	64,3	0,211
18	2019-04-20 23:24:28.366	68,0	12,574571	41,853081	53,4	39,2	48,6	0,265
19	2019-04-20 23:24:32.366	72,0	12,575174	41,853591	53,6	40,2	68,0	0,340
20	2019-04-20 23:24:36.366	76,0	12,575679	41,854025	54,9	39,2	57,5	0,404
21	2019-04-20 23:24:40.366	80,0	12,575970	41,854435	56,3	1,3	46,4	0,456
22	2019-04-20 23:24:44.366	84,0	12,575919	41,854938	57,1	343,1	50,5	0,512
23	2019-04-20 23:24:48.366	88,0	12,575750	41,855452	57,2	343,1	53,0	0,571
24	2019-04-20 23:24:52.366	92,0	12,575604	41,855856	57,4	342,1	41,8	0,617
25	2019-04-20 23:24:56.366	96,0	12,575535	41,856036	57,4	348,3	18,8	0,638
26	2019-04-20 23:25:00.366	100,0	12,575534	41,856037	57,4	351,3	0,1	0,638
27	2019-04-20 23:25:04.366	104,0	12,575529	41,856050	57,4	2,3	1,4	0,640
28	2019-04-20 23:25:08.366	108,0	12,575640	41,856133	57,5	71,7	11,7	0,653
29	2019-04-20 23:25:12.366	112,0	12,576101	41,856225	58,2	72,7	35,5	0,692
30	2019-04-20 23:25:16.366	116,0	12,576733	41,856350	59,0	72,7	48,7	0,746
31	2019-04-20 23:25:20.366	120,0	12,577410	41,856497	60,2	72,7	52,6	0,805
32	2019-04-20 23:25:24.366	124,0	12,578040	41,856565	59,4	103,2	47,5	0,858
33	2019-04-20 23:25:28.366	128,0	12,578554	41,856318	58,3	139,1	45,6	0,908
34	2019-04-20 23:25:32.366	132,0	12,578894	41,855894	58,2	145,3	49,4	0,963
35	2019-04-20 23:25:36.366	136,0	12,579265	41,855434	58,5	145,3	53,7	1,023
36	2019-04-20 23:25:40.366	140,0	12,579631	41,854982	57,8	145,3	52,8	1,082
37	2019-04-20 23:25:44.366	144,0	12,579998	41,854535	57,5	145,3	52,4	1,140
38	2019-04-20 23:25:48.366	148,0	12,580376	41,854071	57,5	145,3	54,3	1,200
39	2019-04-20 23:25:52.366	152,0	12,580749	41,853602	57,4	145,3	54,6	1,261
40	2019-04-20 23:25:56.366	156,0	12,581117	41,853142	57,4	146,4	53,6	1,320
41	2019-04-20 23:26:00.366	160,0	12,581458	41,852727	57,4	145,3	48,7	1,374
42	2019-04-20 23:26:04.366	164,0	12,581736	41,852380	57,4	150,8	40,4	1,419
43	2019-04-20 23:26:08.366	168,0	12,581884	41,851990	57,5	195,1	40,6	1,464
44	2019-04-20 23:26:12.366	172,0	12,581587	41,851698	58,3	219,2	36,7	1,505
45	2019-04-20 23:26:16.366	176,0	12,581304	41,851507	59,5	220,2	28,4	1,537
46	2019-04-20 23:26:20.366	180,0	12,581080	41,851380	60,2	236,1	21,0	1,560
47	2019-04-20 23:26:24.366	184,0	12,580489	41,851153	60,9	237,1	49,6	1,615
48	2019-04-20 23:26:28.366	188,0	12,579823	41,850880	61,7	236,1	56,7	1,678
49	2019-04-20 23:26:32.366	192,0	12,579169	41,850567	62,3	233,1	58,0	1,743
50	2019-04-20 23:26:36.366	196,0	12,578527	41,850230	62,9	232,0	58,5	1,807
51	2019-04-20 23:26:40.366	200,0	12,577809	41,849851	63,3	232,0	65,6	1,880
