relative_time,AccX,AccY,AccZ,LinearAccelerometerSensor
0,-0.25776397705078125,10.379864959716798,0.7351213073730469,0.128044815282776
49,0.10074050903320313,9.929152221679688,0.6617738342285157,0.1131820156723547
102,-0.10747650146484375,9.878557434082031,0.67060546875,0.048685491983505316
169,0.04939727783203125,10.018666076660157,0.670455780029297,0.04044260297527034
235,0.10148895263671875,9.77736785888672,0.6855743408203125,0.05768492091141872
302,-0.16390914916992189,9.680369567871095,0.62989013671875,0.07301776732538459
396,-0.02784210205078125,9.702074432373047,0.6150709533691406,0.020366941860530237
435,0.002245330810546875,9.408534851074219,0.6493496704101562,0.07568650975255617
502,-0.12169692993164063,9.759255523681642,0.7182064819335938,0.07688335776776535
570,-0.08666976928710939,9.435478820800782,0.6914122009277344,0.06466336088041592
635,-0.02125579833984375,9.93214599609375,0.6689588928222656,0.11160066562787882
702,0.026195526123046875,9.601184234619142,0.6123765563964844,0.060720973737339354
769,-0.04939727783203125,10.009385375976564,0.6902146911621094,0.09062261808828119
835,-0.09250762939453125,9.479187927246095,0.6951544189453125,0.11156165735335499
902,-0.1167572021484375,10.043215026855469,0.7141648864746094,0.11394727878010591
969,-0.04879852294921875,9.528136138916016,0.623902587890625,0.10363956105520415
1035,-0.009580078125,10.070158996582032,0.6890171813964844,0.11175962180648931
1102,-0.04805007934570313,9.496551818847657,0.6658154296875001,0.11601078802813139
1169,-0.07349716186523438,9.850565643310548,0.7235952758789063,0.06161657447133843
1235,-0.10612930297851562,9.388775939941407,0.6559359741210938,0.10196590555804183
1302,-0.14579681396484376,10.017618255615234,0.6803352355957032,0.1326844762073808
1368,-0.016615447998046876,9.4507470703125,0.6608757019042969,0.11262692759642028
1435,0.0305364990234375,10.05084915161133,0.7020401000976563,0.124667167283025
1502,-0.05553451538085938,9.490564270019531,0.7313790893554688,0.11105316939743777
1569,-0.13172607421875002,10.19170623779297,0.7075785827636719,0.14980100459198586
1635,-0.09729766845703125,9.385333099365235,0.5936654663085937,0.16722864455290407
1702,-0.006885681152343751,10.236463165283203,0.7265890502929688,0.1751298011901876
