Registro GPS
Articolo	Data	Elapse (s)	Longitudine	Latitudine	Altitudine (m)	Corso	Velocità (km/h)	Distanza totale (km)	
64	2019-05-05 17:50:12.416	64,0	12,526795	41,890997	47,5	209,2	37,6	0,390
65	2019-05-05 17:50:13.416	65,0	12,526643	41,890958	47,5	210,3	47,9	0,403
66	2019-05-05 17:50:14.416	66,0	12,526515	41,890928	47,4	211,4	39,9	0,415
67	2019-05-05 17:50:15.416	67,0	12,526368	41,890894	47,5	212,5	46,0	0,427
68	2019-05-05 17:50:16.416	68,0	12,526247	41,890864	47,5	212,5	38,1	0,438
69	2019-05-05 17:50:17.416	69,0	12,526127	41,890834	47,5	215,7	37,5	0,448
70	2019-05-05 17:50:18.416	70,0	12,526010	41,890804	47,5	216,1	36,9	0,459
71	2019-05-05 17:50:19.416	71,0	12,525894	41,890775	47,4	216,3	36,5	0,469
72	2019-05-05 17:50:20.416	72,0	12,525814	41,890755	47,1	215,7	25,3	0,476
73	2019-05-05 17:50:21.416	73,0	12,525808	41,890754	47,1	215,7	1,9	0,476
74	2019-05-05 17:50:22.416	74,0	12,525572	41,890696	47,4	215,7	73,9	0,497
75	2019-05-05 17:50:23.416	75,0	12,525468	41,890668	47,6	215,7	33,0	0,506
76	2019-05-05 17:50:24.416	76,0	12,525319	41,890627	47,5	214,7	47,2	0,519
77	2019-05-05 17:50:25.416	77,0	12,525204	41,890596	47,4	214,7	36,6	0,529
78	2019-05-05 17:50:26.416	78,0	12,524961	41,890529	47,8	215,7	77,4	0,551
79	2019-05-05 17:50:27.416	79,0	12,524873	41,890504	48,4	215,7	27,8	0,558
80	2019-05-05 17:50:28.416	80,0	12,524778	41,890475	48,3	215,7	30,8	0,567
81	2019-05-05 17:50:29.416	81,0	12,524691	41,890446	48,6	216,6	28,3	0,575
82	2019-05-05 17:50:30.416	82,0	12,524590	41,890410	49,2	217,7	33,2	0,584
83	2019-05-05 17:50:31.416	83,0	12,524494	41,890370	49,5	217,7	32,8	0,593
84	2019-05-05 17:50:32.416	84,0	12,524417	41,890336	49,6	218,7	26,8	0,601
85	2019-05-05 17:50:33.416	85,0	12,524328	41,890295	49,4	221,9	31,2	0,609
86	2019-05-05 17:50:34.416	86,0	12,524231	41,890241	49,7	222,9	36,2	0,619
87	2019-05-05 17:50:35.416	87,0	12,524171	41,890206	49,9	223,9	22,6	0,626
88	2019-05-05 17:50:36.416	88,0	12,524078	41,890154	50,1	224,9	34,8	0,635
89	2019-05-05 17:50:37.416	89,0	12,523977	41,890093	50,2	224,9	38,8	0,646
90	2019-05-05 17:50:38.416	90,0	12,523898	41,890041	50,3	224,9	31,1	0,655
91	2019-05-05 17:50:39.416	91,0	12,523826	41,889989	50,3	224,9	30,2	0,663
92	2019-05-05 17:50:40.416	92,0	12,523769	41,889945	50,3	224,9	24,4	0,670
93	2019-05-05 17:50:41.416	93,0	12,523726	41,889934	50,3	224,9	13,5	0,674
94	2019-05-05 17:50:42.416	94,0	12,523664	41,889858	50,3	224,9	35,5	0,683
95	2019-05-05 17:50:43.416	95,0	12,523598	41,889842	50,3	224,9	20,5	0,689
96	2019-05-05 17:50:44.416	96,0	12,523568	41,889824	50,4	224,9	11,8	0,692
97	2019-05-05 17:50:45.416	97,0	12,523543	41,889811	50,4	226,0	9,1	0,695
98	2019-05-05 17:50:46.416	98,0	12,523651	41,889955	50,3	226,0	66,2	0,713
99	2019-05-05 17:50:47.416	99,0	12,523653	41,889988	50,0	227,0	13,4	0,717
100	2019-05-05 17:50:48.416	100,0	12,523684	41,890048	49,8	227,0	25,5	0,724
101	2019-05-05 17:50:49.416	101,0	12,523212	41,890550	49,6	227,0	245,4	0,792
102	2019-05-05 17:50:50.416	102,0	12,523125	41,890551	49,5	227,0	26,0	0,800
103	2019-05-05 17:50:51.416	103,0	12,523047	41,890560	49,5	227,0	23,4	0,806
104	2019-05-05 17:50:52.416	104,0	12,522978	41,890564	49,4	228,0	20,6	0,812
105	2019-05-05 17:50:53.416	105,0	12,522888	41,890570	49,4	228,0	27,0	0,819
106	2019-05-05 17:50:54.416	106,0	12,522790	41,890565	49,4	229,0	29,3	0,827
107	2019-05-05 17:50:55.416	107,0	12,522680	41,890567	49,4	229,0	32,8	0,837
108	2019-05-05 17:50:56.416	108,0	12,522547	41,890562	49,4	229,0	39,6	0,848
109	2019-05-05 17:50:57.416	109,0	12,522466	41,890813	49,4	229,0	103,7	0,876
110	2019-05-05 17:50:58.416	110,0	12,522324	41,890818	49,4	229,0	42,4	0,888
111	2019-05-05 17:50:59.416	111,0	12,522174	41,890832	49,4	229,0	44,9	0,901
112	2019-05-05 17:51:00.416	112,0	12,522031	41,890848	51,3	230,0	43,1	0,913
113	2019-05-05 17:51:01.416	113,0	12,521888	41,890858	52,6	231,2	42,9	0,924
114	2019-05-05 17:51:02.416	114,0	12,521744	41,890871	53,7	233,2	43,2	0,936
115	2019-05-05 17:51:03.416	115,0	12,521604	41,891048	54,7	233,2	82,2	0,959
116	2019-05-05 17:51:04.416	116,0	12,521393	41,891282	55,6	233,2	112,8	0,991
117	2019-05-05 17:51:05.416	117,0	12,521221	41,891258	56,6	233,2	52,1	1,005
118	2019-05-05 17:51:06.416	118,0	12,521144	41,891245	57,8	233,2	23,5	1,012
119	2019-05-05 17:51:07.416	119,0	12,520912	41,891162	58,8	231,7	77,0	1,033
120	2019-05-05 17:51:08.416	120,0	12,520867	41,891141	63,2	230,6	15,6	1,037
121	2019-05-05 17:51:09.416	121,0	12,520717	41,891064	63,0	231,0	54,1	1,052
122	2019-05-05 17:51:10.416	122,0	12,520586	41,890921	63,5	231,2	69,4	1,072
123	2019-05-05 17:51:11.416	123,0	12,520124	41,891161	63,5	229,4	167,8	1,118
124	2019-05-05 17:51:12.416	124,0	12,519917	41,891177	63,3	230,4	62,0	1,135
125	2019-05-05 17:51:13.416	125,0	12,519720	41,891198	63,2	230,4	59,3	1,152
126	2019-05-05 17:51:14.416	126,0	12,519541	41,891219	63,1	230,4	54,2	1,167
127	2019-05-05 17:51:15.416	127,0	12,519358	41,891240	63,0	230,4	55,0	1,182
128	2019-05-05 17:51:16.416	128,0	12,519166	41,891257	63,4	230,5	57,7	1,198
129	2019-05-05 17:51:17.416	129,0	12,518969	41,891266	63,8	231,6	58,9	1,215
130	2019-05-05 17:51:18.416	130,0	12,518782	41,891282	64,4	232,7	56,0	1,230
131	2019-05-05 17:51:19.416	131,0	12,518577	41,891367	63,8	233,8	69,7	1,250
132	2019-05-05 17:51:20.416	132,0	12,518386	41,891378	63,1	232,7	57,1	1,265
133	2019-05-05 17:51:21.416	133,0	12,518176	41,891394	62,6	231,7	63,1	1,283
134	2019-05-05 17:51:22.416	134,0	12,517994	41,891582	62,3	226,1	92,6	1,309
135	2019-05-05 17:51:23.416	135,0	12,517797	41,891589	50,7	220,4	58,9	1,325
136	2019-05-05 17:51:24.416	136,0	12,517533	41,891550	49,4	219,0	80,2	1,347
137	2019-05-05 17:51:25.416	137,0	12,517376	41,891523	49,3	217,9	48,0	1,361
138	2019-05-05 17:51:26.416	138,0	12,517203	41,891491	51,5	223,4	53,0	1,375
139	2019-05-05 17:51:27.416	139,0	12,517097	41,891476	49,6	236,5	32,1	1,384
140	2019-05-05 17:51:28.416	140,0	12,516974	41,891472	49,4	247,0	36,8	1,395
141	2019-05-05 17:51:29.416	141,0	12,516860	41,891489	49,4	254,6	34,6	1,404
142	2019-05-05 17:51:30.416	142,0	12,516833	41,891495	49,4	257,7	8,5	1,407
143	2019-05-05 17:51:31.416	143,0	12,516743	41,891528	49,5	257,7	29,9	1,415
144	2019-05-05 17:51:32.416	144,0	12,516692	41,891553	49,6	257,7	18,1	1,420
145	2019-05-05 17:51:33.416	145,0	12,516688	41,891554	49,6	257,7	1,4	1,420
146	2019-05-05 17:51:34.416	146,0	12,516687	41,891555	49,6	257,7	0,0	1,420
147	2019-05-05 17:51:35.416	147,0	12,516683	41,891557	49,7	257,7	1,4	1,421
148	2019-05-05 17:51:36.416	148,0	12,516673	41,891562	49,7	257,7	3,7	1,422
149	2019-05-05 17:51:37.416	149,0	12,516659	41,891569	49,7	258,7	5,1	1,423
150	2019-05-05 17:51:38.416	150,0	12,516626	41,891585	49,7	260,7	11,8	1,426
151	2019-05-05 17:51:39.416	151,0	12,516603	41,891597	49,7	262,8	8,3	1,429
152	2019-05-05 17:51:40.416	152,0	12,516547	41,891626	49,7	264,8	20,2	1,434
153	2019-05-05 17:51:41.416	153,0	12,516511	41,891645	49,8	265,8	13,3	1,438
154	2019-05-05 17:51:42.416	154,0	12,516458	41,891673	49,8	266,9	19,3	1,443
155	2019-05-05 17:51:43.416	155,0	12,516394	41,891709	49,8	268,0	24,0	1,450
156	2019-05-05 17:51:44.416	156,0	12,516321	41,891749	49,8	270,0	26,8	1,457
157	2019-05-05 17:51:45.416	157,0	12,516254	41,891786	50,0	271,0	25,0	1,464
158	2019-05-05 17:51:46.416	158,0	12,516194	41,891819	50,1	272,1	22,1	1,471
159	2019-05-05 17:51:47.416	159,0	12,516106	41,891861	50,2	272,1	31,2	1,479
160	2019-05-05 17:51:48.416	160,0	12,516015	41,891907	50,3	273,1	32,7	1,488
161	2019-05-05 17:51:49.416	161,0	12,515922	41,891955	50,3	274,1	33,7	1,498
162	2019-05-05 17:51:50.416	162,0	12,515825	41,892013	50,2	275,1	37,2	1,508
163	2019-05-05 17:51:51.416	163,0	12,515743	41,892062	50,3	276,2	31,4	1,517
164	2019-05-05 17:51:52.416	164,0	12,515664	41,892108	50,4	276,2	29,8	1,525
165	2019-05-05 17:51:53.416	165,0	12,515579	41,892158	50,5	274,2	32,3	1,534
166	2019-05-05 17:51:54.416	166,0	12,515519	41,892192	50,6	275,2	22,4	1,540
167	2019-05-05 17:51:55.416	167,0	12,515436	41,892230	50,7	294,7	29,2	1,548
168	2019-05-05 17:51:56.416	168,0	12,515423	41,892236	50,8	331,6	4,7	1,550
169	2019-05-05 17:51:57.416	169,0	12,515422	41,892245	50,9	353,3	3,4	1,551
170	2019-05-05 17:51:58.416	170,0	12,515520	41,892325	51,3	358,7	43,2	1,563
171	2019-05-05 17:51:59.416	171,0	12,515567	41,892376	51,3	359,8	25,0	1,569
172	2019-05-05 17:52:00.416	172,0	12,515606	41,892421	51,3	359,8	21,3	1,575
173	2019-05-05 17:52:01.416	173,0	12,515644	41,892465	51,0	1,9	20,9	1,581
174	2019-05-05 17:52:02.416	174,0	12,515682	41,892508	50,8	3,0	20,9	1,587
175	2019-05-05 17:52:03.416	175,0	12,515724	41,892556	50,6	3,0	22,7	1,593
176	2019-05-05 17:52:04.416	176,0	12,515761	41,892599	50,3	0,8	20,3	1,599
177	2019-05-05 17:52:14.416	186,0	12,515980	41,893018	50,3	0,8	18,0	1,649
178	2019-05-05 17:52:16.416	188,0	12,516625	41,893641	45,5	1,0	157,4	1,736
179	2019-05-05 17:52:17.416	189,0	12,516698	41,893706	46,8	1,0	33,9	1,746
180	2019-05-05 17:52:18.416	190,0	12,516804	41,893797	46,3	1,0	48,2	1,759
181	2019-05-05 17:52:19.416	191,0	12,516890	41,893894	46,3	1,0	46,5	1,772
182	2019-05-05 17:52:20.416	192,0	12,516989	41,894007	46,2	1,0	54,0	1,787
183	2019-05-05 17:52:21.416	193,0	12,517091	41,894122	46,1	1,0	55,3	1,803
184	2019-05-05 17:52:22.416	194,0	12,517205	41,894247	46,1	1,0	60,5	1,819
185	2019-05-05 17:52:23.416	195,0	12,517314	41,894365	45,9	2,1	57,3	1,835
186	2019-05-05 17:52:24.416	196,0	12,517424	41,894484	45,7	3,1	57,9	1,851
187	2019-05-05 17:52:25.416	197,0	12,517521	41,894580	45,7	3,1	47,9	1,865
188	2019-05-05 17:52:26.416	198,0	12,517612	41,894691	45,8	4,3	52,3	1,879
189	2019-05-05 17:52:27.416	199,0	12,517691	41,894813	45,8	4,3	54,0	1,894
190	2019-05-05 17:52:28.416	200,0	12,517750	41,894881	46,0	4,3	32,7	1,903
191	2019-05-05 17:52:29.416	201,0	12,517826	41,894969	46,3	4,3	41,6	1,915
192	2019-05-05 17:52:30.416	202,0	12,517908	41,895063	46,6	4,3	45,3	1,927
193	2019-05-05 17:52:31.416	203,0	12,518010	41,895179	47,0	4,3	55,2	1,943
194	2019-05-05 17:52:32.416	204,0	12,518097	41,895277	47,3	4,3	47,0	1,956
195	2019-05-05 17:52:33.416	205,0	12,518200	41,895397	47,5	5,3	57,1	1,972
196	2019-05-05 17:52:34.416	206,0	12,518296	41,895510	47,5	5,3	53,6	1,986
197	2019-05-05 17:52:35.416	207,0	12,518405	41,895641	47,6	5,3	61,7	2,004
198	2019-05-05 17:52:36.416	208,0	12,518510	41,895767	47,5	5,3	59,3	2,020
199	2019-05-05 17:52:37.416	209,0	12,518598	41,895872	47,4	5,3	49,5	2,034
200	2019-05-05 17:52:38.416	210,0	12,518674	41,895961	47,5	5,3	42,3	2,046
201	2019-05-05 17:52:40.416	212,0	12,518764	41,896067	47,3	4,8	25,0	2,059
202	2019-05-05 17:52:41.416	213,0	12,518915	41,896244	46,5	4,8	84,2	2,083
203	2019-05-05 17:52:42.416	214,0	12,519001	41,896334	46,5	10,5	44,1	2,095
204	2019-05-05 17:52:43.416	215,0	12,519031	41,896361	47,0	26,4	14,0	2,099
205	2019-05-05 17:52:44.416	216,0	12,519191	41,896455	47,6	31,9	60,9	2,116
206	2019-05-05 17:52:45.416	217,0	12,519353	41,896507	49,0	41,5	52,4	2,130
207	2019-05-05 17:52:46.416	218,0	12,519483	41,896533	49,9	49,0	40,3	2,142
208	2019-05-05 17:52:47.416	219,0	12,519653	41,896567	50,9	51,1	52,5	2,156
209	2019-05-05 17:52:48.416	220,0	12,519818	41,896600	51,5	52,1	50,9	2,170
210	2019-05-05 17:52:49.416	221,0	12,519983	41,896633	52,0	53,2	50,7	2,184
211	2019-05-05 17:52:50.416	222,0	12,520145	41,896666	52,4	53,2	50,1	2,198
212	2019-05-05 17:52:51.416	223,0	12,520319	41,896694	52,8	53,2	53,0	2,213
213	2019-05-05 17:52:52.416	224,0	12,520508	41,896723	53,0	53,2	57,6	2,229
214	2019-05-05 17:52:53.416	225,0	12,520693	41,896751	52,5	54,2	56,3	2,245
215	2019-05-05 17:52:54.416	226,0	12,520901	41,896782	52,1	54,2	63,4	2,262
216	2019-05-05 17:52:55.416	227,0	12,521102	41,896813	51,9	55,2	60,8	2,279
217	2019-05-05 17:52:56.416	228,0	12,521278	41,896839	51,5	55,2	53,5	2,294
218	2019-05-05 17:52:57.416	229,0	12,521464	41,896868	51,4	54,2	56,8	2,310
219	2019-05-05 17:52:58.416	230,0	12,521668	41,896899	51,4	54,2	62,1	2,327
220	2019-05-05 17:52:59.416	231,0	12,521875	41,896932	51,4	55,2	63,0	2,345
221	2019-05-05 17:53:00.416	232,0	12,522061	41,896964	51,3	55,2	56,9	2,360
222	2019-05-05 17:53:01.416	233,0	12,522250	41,896996	50,8	55,2	57,9	2,376
223	2019-05-05 17:53:02.416	234,0	12,522444	41,897029	50,3	56,4	59,2	2,393
224	2019-05-05 17:53:03.416	235,0	12,522641	41,897063	49,9	56,4	60,2	2,410
225	2019-05-05 17:53:04.416	236,0	12,522835	41,897097	49,7	56,4	59,5	2,426
226	2019-05-05 17:53:05.416	237,0	12,523055	41,897136	49,8	56,4	67,3	2,445
227	2019-05-05 17:53:06.416	238,0	12,523259	41,897172	49,8	56,4	62,6	2,462
228	2019-05-05 17:53:07.416	239,0	12,523462	41,897209	49,6	56,4	62,2	2,479
229	2019-05-05 17:53:08.416	240,0	12,523651	41,897243	49,0	56,4	58,0	2,496
230	2019-05-05 17:53:09.416	241,0	12,523833	41,897276	48,4	56,4	55,7	2,511
231	2019-05-05 17:53:10.416	242,0	12,523989	41,897304	48,1	56,4	48,0	2,524
232	2019-05-05 17:53:11.416	243,0	12,524153	41,897334	47,8	56,4	50,2	2,538
233	2019-05-05 17:53:12.416	244,0	12,524297	41,897360	47,5	55,3	44,1	2,551
234	2019-05-05 17:53:13.416	245,0	12,524457	41,897391	47,2	53,1	49,4	2,564
235	2019-05-05 17:53:14.416	246,0	12,524568	41,897421	46,9	52,1	35,0	2,574
236	2019-05-05 17:53:15.416	247,0	12,524681	41,897452	46,7	52,1	36,0	2,584
237	2019-05-05 17:53:16.416	248,0	12,524779	41,897477	46,6	51,1	30,9	2,593
238	2019-05-05 17:53:17.416	249,0	12,524868	41,897502	46,3	49,1	28,2	2,600
239	2019-05-05 17:53:18.416	250,0	12,524957	41,897530	45,7	48,0	28,8	2,608
240	2019-05-05 17:53:19.416	251,0	12,525065	41,897569	44,9	48,0	35,7	2,618
241	2019-05-05 17:53:20.416	252,0	12,525200	41,897615	44,0	48,0	44,3	2,631
242	2019-05-05 17:53:21.416	253,0	12,525360	41,897668	43,3	47,0	52,3	2,645
243	2019-05-05 17:53:22.416	254,0	12,525532	41,897731	43,1	46,0	57,1	2,661
244	2019-05-05 17:53:23.416	255,0	12,525688	41,897793	43,2	46,0	52,8	2,676
245	2019-05-05 17:53:24.416	256,0	12,525847	41,897863	42,9	45,0	54,8	2,691
246	2019-05-05 17:53:25.416	257,0	12,526015	41,897936	42,6	43,9	58,3	2,707
247	2019-05-05 17:53:26.416	258,0	12,526184	41,898017	42,5	41,9	59,9	2,724
248	2019-05-05 17:53:27.416	259,0	12,526353	41,898104	42,4	40,8	60,9	2,741
249	2019-05-05 17:53:28.416	260,0	12,526531	41,898203	42,1	38,6	66,3	2,759
250	2019-05-05 17:53:29.416	261,0	12,526698	41,898303	42,0	37,6	63,8	2,777
251	2019-05-05 17:53:30.416	262,0	12,526875	41,898410	41,9	36,5	68,0	2,796
252	2019-05-05 17:53:31.416	263,0	12,527047	41,898521	41,7	36,5	67,8	2,815
253	2019-05-05 17:53:32.416	264,0	12,527211	41,898633	41,6	36,5	66,3	2,833
254	2019-05-05 17:53:33.416	265,0	12,527376	41,898750	41,5	35,5	68,0	2,852
255	2019-05-05 17:53:34.416	266,0	12,527548	41,898875	41,6	35,5	71,6	2,872
256	2019-05-05 17:53:35.416	267,0	12,527762	41,899035	41,6	34,5	90,5	2,897
257	2019-05-05 17:53:36.416	268,0	12,527919	41,899157	41,7	34,5	67,6	2,916
258	2019-05-05 17:53:37.416	269,0	12,528065	41,899267	41,6	34,5	61,8	2,933
259	2019-05-05 17:53:38.416	270,0	12,528233	41,899378	41,5	33,5	66,8	2,951
260	2019-05-05 17:53:39.416	271,0	12,528390	41,899489	41,5	33,5	64,6	2,969
261	2019-05-05 17:53:40.416	272,0	12,528538	41,899593	41,5	33,5	60,9	2,986
262	2019-05-05 17:53:41.416	273,0	12,528685	41,899710	41,3	33,5	64,1	3,004
263	2019-05-05 17:53:42.416	274,0	12,528818	41,899809	41,1	33,5	56,0	3,020
264	2019-05-05 17:53:43.416	275,0	12,528956	41,899910	41,0	33,5	57,7	3,036
265	2019-05-05 17:53:44.416	276,0	12,529081	41,900010	40,9	33,5	54,7	3,051
266	2019-05-05 17:53:45.416	277,0	12,529200	41,900103	40,7	33,5	51,4	3,065
267	2019-05-05 17:53:46.416	278,0	12,529299	41,900177	40,6	33,5	41,5	3,077
268	2019-05-05 17:53:47.416	279,0	12,529406	41,900255	40,6	33,5	44,8	3,089
269	2019-05-05 17:53:48.416	280,0	12,529534	41,900332	40,5	33,5	49,2	3,103
270	2019-05-05 17:53:49.416	281,0	12,529661	41,900416	40,6	33,5	50,5	3,117
271	2019-05-05 17:53:50.416	282,0	12,529760	41,900507	40,6	33,5	46,9	3,130
272	2019-05-05 17:53:51.416	283,0	12,529867	41,900605	40,6	34,5	50,6	3,144
273	2019-05-05 17:53:52.416	284,0	12,529976	41,900705	40,5	34,5	51,4	3,158
274	2019-05-05 17:53:53.416	285,0	12,530111	41,900814	40,3	34,5	59,2	3,175
275	2019-05-05 17:53:54.416	286,0	12,530248	41,900920	40,0	34,5	59,1	3,191
276	2019-05-05 17:53:55.416	287,0	12,530412	41,901049	39,6	32,4	70,8	3,211
277	2019-05-05 17:53:56.416	288,0	12,530560	41,901171	39,6	30,4	66,2	3,229
278	2019-05-05 17:53:57.416	289,0	12,530730	41,901322	36,8	26,1	78,6	3,251
279	2019-05-05 17:53:58.416	290,0	12,530870	41,901463	35,1	22,9	70,3	3,270
280	2019-05-05 17:53:59.416	291,0	12,530982	41,901612	33,6	19,8	68,2	3,289
281	2019-05-05 17:54:00.416	292,0	12,531083	41,901765	32,5	17,8	68,3	3,308
282	2019-05-05 17:54:01.416	293,0	12,531190	41,901926	31,6	17,8	72,0	3,328
283	2019-05-05 17:54:02.416	294,0	12,531275	41,902099	30,7	17,8	73,7	3,349
284	2019-05-05 17:54:03.416	295,0	12,531334	41,902240	29,9	17,8	59,1	3,365
285	2019-05-05 17:54:04.416	296,0	12,531336	41,902277	29,0	17,8	14,9	3,369
286	2019-05-05 17:54:05.416	297,0	12,531336	41,902277	24,8	17,8	0,0	3,369
287	2019-05-05 17:54:06.416	298,0	12,531336	41,902277	24,3	17,8	0,0	3,369
288	2019-05-05 17:54:07.416	299,0	12,531688	41,902815	24,6	17,8	239,6	3,436
289	2019-05-05 17:54:08.416	300,0	12,531756	41,902942	24,6	17,8	54,7	3,451
290	2019-05-05 17:54:09.416	301,0	12,531828	41,903078	24,6	17,8	58,3	3,467
291	2019-05-05 17:54:10.416	302,0	12,531915	41,903221	24,5	17,8	62,8	3,485
292	2019-05-05 17:54:11.416	303,0	12,531990	41,903348	24,3	18,9	55,5	3,500
293	2019-05-05 17:54:12.416	304,0	12,532084	41,903510	24,1	17,8	70,7	3,520
294	2019-05-05 17:54:13.416	305,0	12,532189	41,903678	23,9	16,8	74,3	3,540
