Registro GPS
Articolo	Data	Elapse (s)	Longitudine	Latitudine	Altitudine (m)	Corso	Velocità (km/h)	Distanza totale (km)	
1	2019-05-05 17:49:08.416	0,0	12,527384	41,893537	43,1	0,0	0,0	0,000
2	2019-05-05 17:49:09.416	1,0	12,527431	41,893584	36,6	186,4	23,8	0,007
3	2019-05-05 17:49:10.416	2,0	12,527437	41,893603	36,5	199,9	7,5	0,009
4	2019-05-05 17:49:11.416	3,0	12,527434	41,893619	36,5	183,6	6,5	0,010
5	2019-05-05 17:49:12.416	4,0	12,527427	41,893622	36,4	185,7	2,4	0,011
6	2019-05-05 17:49:13.416	5,0	12,527412	41,893617	36,3	175,5	5,0	0,013
7	2019-05-05 17:49:14.416	6,0	12,527404	41,893608	36,3	176,8	4,3	0,014
8	2019-05-05 17:49:15.416	7,0	12,527394	41,893600	36,3	166,4	4,3	0,015
9	2019-05-05 17:49:16.416	8,0	12,527400	41,893602	36,3	173,2	1,8	0,015
10	2019-05-05 17:49:17.416	9,0	12,527409	41,893599	36,4	172,2	3,0	0,016
11	2019-05-05 17:49:18.416	10,0	12,527418	41,893600	36,4	171,1	2,8	0,017
12	2019-05-05 17:49:19.416	11,0	12,527420	41,893602	36,4	171,1	0,8	0,017
13	2019-05-05 17:49:20.416	12,0	12,527430	41,893607	36,4	171,1	3,6	0,018
14	2019-05-05 17:49:21.416	13,0	12,527430	41,893607	36,4	171,1	0,0	0,018
15	2019-05-05 17:49:22.416	14,0	12,527430	41,893607	36,4	170,1	0,0	0,018
16	2019-05-05 17:49:23.416	15,0	12,527430	41,893607	36,4	170,1	0,0	0,018
17	2019-05-05 17:49:24.416	16,0	12,527430	41,893607	36,4	170,1	0,0	0,018
18	2019-05-05 17:49:25.416	17,0	12,527430	41,893607	36,4	170,1	0,0	0,018
19	2019-05-05 17:49:26.416	18,0	12,527430	41,893607	36,4	170,1	0,0	0,018
20	2019-05-05 17:49:27.416	19,0	12,527430	41,893607	36,4	170,1	0,0	0,018
21	2019-05-05 17:49:28.416	20,0	12,527430	41,893607	36,4	170,1	0,0	0,018
22	2019-05-05 17:49:29.416	21,0	12,527430	41,893607	36,4	170,1	0,0	0,018
23	2019-05-05 17:49:30.416	22,0	12,527403	41,893603	36,4	169,1	8,0	0,020
24	2019-05-05 17:49:31.416	23,0	12,527364	41,893591	36,4	163,6	12,7	0,024
25	2019-05-05 17:49:32.416	24,0	12,527342	41,893578	36,4	161,4	8,4	0,026
26	2019-05-05 17:49:33.416	25,0	12,527322	41,893562	36,4	160,4	8,7	0,029
27	2019-05-05 17:49:34.416	26,0	12,527300	41,893534	36,5	163,6	12,9	0,032
28	2019-05-05 17:49:35.416	27,0	12,527031	41,893369	44,8	166,8	103,9	0,061
29	2019-05-05 17:49:36.416	28,0	12,526946	41,893342	63,3	169,0	27,4	0,069
30	2019-05-05 17:49:37.416	29,0	12,526936	41,893322	45,8	171,2	8,5	0,071
31	2019-05-05 17:49:38.416	30,0	12,526827	41,893300	46,1	169,1	33,5	0,081
32	2019-05-05 17:49:39.416	31,0	12,527282	41,893161	46,4	169,1	146,5	0,121
33	2019-05-05 17:49:40.416	32,0	12,527240	41,893075	85,2	167,9	36,6	0,131
34	2019-05-05 17:49:41.416	33,0	12,527220	41,893007	85,3	164,1	27,8	0,139
35	2019-05-05 17:49:42.416	34,0	12,527199	41,892889	81,4	167,2	47,6	0,152
36	2019-05-05 17:49:43.416	35,0	12,527177	41,892802	77,7	168,2	35,4	0,162
37	2019-05-05 17:49:44.416	36,0	12,527161	41,892724	76,3	167,1	31,4	0,171
38	2019-05-05 17:49:45.416	37,0	12,527156	41,892656	74,4	167,1	27,6	0,179
39	2019-05-05 17:49:46.416	38,0	12,527162	41,892574	69,1	169,2	32,9	0,188
40	2019-05-05 17:49:47.416	39,0	12,527175	41,892492	67,0	169,2	32,7	0,197
41	2019-05-05 17:49:49.416	41,0	12,527206	41,892355	60,4	165,8	28,0	0,212
42	2019-05-05 17:49:50.416	42,0	12,527180	41,892290	47,1	165,8	26,9	0,220
43	2019-05-05 17:49:51.416	43,0	12,527213	41,892230	47,3	168,0	26,1	0,227
44	2019-05-05 17:49:52.416	44,0	12,527209	41,892159	47,4	169,0	28,3	0,235
45	2019-05-05 17:49:53.416	45,0	12,527204	41,892076	47,5	167,9	33,4	0,244
46	2019-05-05 17:49:54.416	46,0	12,527199	41,891986	47,6	167,4	36,2	0,254
47	2019-05-05 17:49:55.416	47,0	12,527194	41,891904	47,5	168,4	32,8	0,263
48	2019-05-05 17:49:56.416	48,0	12,527189	41,891822	47,5	173,8	32,7	0,272
49	2019-05-05 17:49:57.416	49,0	12,527183	41,891715	47,5	174,8	42,9	0,284
50	2019-05-05 17:49:58.416	50,0	12,527179	41,891656	47,5	172,7	23,6	0,291
51	2019-05-05 17:49:59.416	51,0	12,527175	41,891581	47,5	172,7	30,2	0,299
52	2019-05-05 17:50:00.416	52,0	12,527173	41,891511	47,5	169,6	28,1	0,307
53	2019-05-05 17:50:01.416	53,0	12,527175	41,891449	47,6	165,4	24,6	0,314
54	2019-05-05 17:50:02.416	54,0	12,527180	41,891407	47,6	163,3	17,1	0,319
55	2019-05-05 17:50:03.416	55,0	12,527192	41,891358	47,5	164,3	19,7	0,324
56	2019-05-05 17:50:04.416	56,0	12,527191	41,891359	47,3	169,7	0,5	0,324
57	2019-05-05 17:50:05.416	57,0	12,527191	41,891359	47,2	194,1	0,3	0,324
58	2019-05-05 17:50:06.416	58,0	12,527191	41,891359	47,2	223,6	0,3	0,324
59	2019-05-05 17:50:07.416	59,0	12,527192	41,891359	47,2	198,6	0,5	0,325
60	2019-05-05 17:50:08.416	60,0	12,527192	41,891359	47,3	204,5	0,5	0,325
61	2019-05-05 17:50:09.416	61,0	12,527253	41,891149	47,3	207,1	85,8	0,349
62	2019-05-05 17:50:10.416	62,0	12,527019	41,891066	47,4	207,1	77,3	0,370
63	2019-05-05 17:50:11.416	63,0	12,526913	41,891030	47,5	208,1	34,7	0,380
