timestamp,AccZ
1555950352913,9.279925346374512
1555950352916,9.423578262329102
1555950352953,9.739612579345703
1555950352968,9.366117477416992
1555950352988,9.35654067993164
1555950353007,9.586383819580078
1555950353027,9.835380554199219
1555950353047,9.519346237182617
1555950353070,9.47146224975586
1555950353087,9.567230224609375
1555950353107,9.53849983215332
1555950353127,9.548076629638672
1555950353147,9.576807022094727
1555950353168,9.586383819580078
1555950353187,9.548076629638672
1555950353207,9.557653427124023
1555950353227,9.519346237182617
1555950353250,9.59596061706543
1555950353267,9.586383819580078
1555950353287,9.634267807006836
1555950353307,9.528923034667969
1555950353327,9.557653427124023
1555950353348,9.519346237182617
1555950353367,9.528923034667969
1555950353387,9.557653427124023
1555950353408,9.653421401977539
1555950353427,9.299078941345215
1555950353448,9.634267807006836
1555950353468,9.720458984375
1555950353487,9.605537414550781
1555950353507,9.509769439697266
1555950353533,9.423578262329102
1555950353548,9.53849983215332
1555950353571,9.720458984375
1555950353587,9.730035781860352
1555950353607,9.47146224975586
1555950353632,9.289502143859863
1555950353648,9.394847869873047
1555950353668,9.739612579345703
1555950353687,9.90241813659668
1555950353707,9.615114212036133
1555950353731,9.222464561462402
1555950353747,9.394847869873047
1555950353768,9.710882186889648
1555950353787,9.77791976928711
1555950353808,9.548076629638672
1555950353829,9.509769439697266
1555950353847,9.53849983215332
1555950353868,9.500192642211914
1555950353887,9.490615844726562
1555950353909,9.576807022094727
1555950353929,9.452308654785156
1555950353947,9.701305389404297
1555950353968,9.586383819580078
1555950353987,9.433155059814453
1555950354008,9.567230224609375
1555950354028,9.797073364257812
1555950354047,9.643844604492188
1555950354068,9.289502143859863
1555950354088,9.643844604492188
1555950354108,9.797073364257812
1555950354128,9.41400146484375
1555950354148,9.289502143859863
1555950354167,9.404424667358398
1555950354193,9.53849983215332
1555950354208,9.701305389404297
1555950354228,9.806650161743164
1555950354248,9.691728591918945
1555950354268,9.327810287475586
1555950354292,9.327810287475586
1555950354308,9.66299819946289
