aaaaa
Time, Latitude, Longitude, Elevation, Speed, AccX, AccY, AccZ, Bearing, Accuracy
09:27:48,41.9045877,12.5123497,51.98999786376953,0.0,0.019116390496492386,0.04581360518932343,0.3449925482273102,0.0,72.9000015258789
09:27:49,41.90459522212768,12.512802722404547,54.576257013774224,1.0374359130859376,-0.007110096514225006,0.057625830173492425,0.4208417534828186,0.0,10.323991775512695
09:27:51,41.904606747653645,12.51285269406478,56.53571581091823,0.0,-0.00819143932312727,0.07104943692684174,0.4594351947307586,0.0,4.900000095367432
09:27:55,41.904598814070994,12.512858683901225,57.717038722003814,1.5952154159545902,-0.03917891904711723,0.06287308037281036,0.4604637324810028,0.0,14.14145565032959
09:27:59,41.904602977330185,12.512850275282096,58.51892349340939,0.8098430633544922,0.019523268565535545,0.06615681946277617,0.4346946477890015,260.0232954731583,15.86163330078125
09:28:24,41.904596672958775,12.5128549459551,59.040742056268996,0.1695989727973938,0.007764548063278198,0.06714162230491638,0.4468332231044769,286.90990618149,31.04101371765137
09:29:11,41.90464172438496,12.512778931094976,58.74395785192478,0.0,0.35245758295059204,0.19495461881160736,0.3009223341941833,64.92197431499017,22.62800025939941
09:29:30,41.90461411792507,12.512559594011991,58.00233361599576,0.0,0.1019805520772934,0.016833145171403885,0.43422016501426697,31.746846430660906,48.9000015258789
09:29:35,41.904611388216864,12.51283430872603,58.58576901661807,0.0,0.09900599718093872,-0.008536449633538723,0.4734592139720917,286.4510845918146,4.699999809265137
09:29:59,41.904597846794246,12.512845375399616,58.23285279986367,3.516153717041016,0.1428585946559906,-0.009231234900653362,0.5187125205993652,178.50885243214134,4.699999809265137
09:30:00,41.90458512255446,12.512848611870126,57.784319895906016,0.0,0.10903550684452057,-0.011754300445318222,0.4346516728401184,173.43556772652016,4.699999809265137
09:30:08,41.90460807999354,12.512842589038662,57.274967242471256,3.4794605255126956,0.12469702959060668,-0.009364438243210316,0.5149482488632202,340.44824560749606,4.699999809265137
09:30:09,41.90461928223847,12.51283744329778,56.79472721990096,0.0,0.10087287425994873,-0.015051746740937231,0.4933721423149109,348.2978411493505,4.699999809265137
09:30:10,41.90462738041481,12.512796462464726,56.29448117867097,0.0,0.07237045466899872,-0.001259984681382775,0.4421522617340088,87.5620751391054,25.13999938964844
09:30:11,41.90463422878795,12.512828278301955,56.07070120040026,2.86395320892334,0.03059099242091179,-0.03862129896879196,0.4067002832889557,338.532175360424,5.522999286651611
09:30:12,41.90464614591569,12.512828668272025,55.84479205270121,0.0,0.09683798998594284,-0.06808429211378098,0.5046702027320862,352.51399756045066,4.699999809265137
09:30:14,41.904656183882324,12.512832307383475,55.50453323791587,1.2605895042419435,0.2538038194179535,0.024084530770778656,0.4101970195770264,353.17114317718375,4.699999809265137
09:30:18,41.904656445617036,12.512815074060919,54.62093256443529,2.518728065490723,0.17212249338626862,0.01975276693701744,0.43525952100753773,264.14902411146016,4.699999809265137
09:30:19,41.90465794039993,12.51279304536591,53.91779825146072,4.470893859863281,0.13322769105434418,-0.0008862069807946682,0.5152821540832521,270.5329950517773,4.699999809265137
09:30:20,41.90465418537958,12.512752870356529,53.20451184297599,4.182762145996094,0.05446816980838776,0.1954238563776016,0.624583899974823,250.06549120193344,4.699999809265137
09:30:21,41.90464336990017,12.512722135685534,52.62584298943387,3.2181949615478516,0.3370643258094788,0.018295340240001682,0.4195407032966614,226.7520796420039,4.699999809265137
09:30:22,41.904629865662216,12.5126957630524,52.0978876815356,3.3984226226806644,0.22712627053260806,0.03846531361341477,0.5396731495857239,233.4213449641637,4.699999809265137
09:30:23,41.904619525353546,12.512680827463706,51.70728440750978,1.6695529937744142,0.1166423112154007,-0.02206152118742466,0.4414860606193543,222.90722203077354,4.699999809265137
09:30:39,41.90462387921606,12.5126687559162,51.290914009141474,1.430228328704834,0.11502452194690704,-0.011808167211711408,0.4161339700222016,55.62437790450747,4.699999809265137
09:30:41,41.90463122458311,12.512652855725095,50.98282377567854,0.0,0.13027700781822205,-0.03543885797262192,0.4711548686027527,47.762084549639674,4.699999809265137
09:30:44,41.904640213154615,12.512646797882544,50.918303306348,0.0,0.12594696879386902,-0.026488851755857468,0.4836091101169586,47.39255677695701,4.699999809265137
09:30:47,41.90463994828929,12.512633960511526,50.907867898273935,3.1471004486083984,0.2335081696510315,-0.06788512319326401,0.9203314185142516,189.37838035381264,4.699999809265137
09:30:48,41.904623311285626,12.512611185529599,50.702559101575616,6.215109252929689,-0.4948358535766602,0.032298151403665536,0.5947855114936829,226.41886050410733,4.699999809265137
09:30:49,41.904598855848455,12.512566750729158,50.59838965683546,6.876667022705078,0.3595297336578369,-0.008187939412891865,0.8428012132644653,224.38039440164937,4.699999809265137
09:30:50,41.90457353210546,12.512514952653506,50.48424929990511,8.8624267578125,0.16928455233573916,-0.044611044228076935,0.5816125869750977,241.22997236637693,4.699999809265137
09:30:51,41.90454987253608,12.51233366491724,51.69570990572932,0.0,-0.25433787703514105,-0.13840489089488986,0.4972307682037354,46.651466049137156,19.339000701904297
09:30:51,41.904544697785894,12.512442649751248,51.19935627173773,8.786765289306642,0.0684819296002388,0.0044762082397937775,0.5365188121795654,230.333891641319,4.699999809265137
09:30:52,41.9045153682941,12.512381138342107,50.82263379299015,10.507881927490235,0.07550173997879027,-0.008311796002089977,0.4202182292938232,244.6066295659567,4.699999809265137
09:30:53,41.90448928681583,12.51230632160196,50.58607901044309,10.361756134033206,0.03471485897898674,0.06961280107498169,0.5395802259445189,246.15381385404905,4.699999809265137
