relative_time,AccZ
0,9.720458984375
1,9.682151794433594
33,9.797073364257812
61,9.892841339111328
86,9.892841339111328
98,9.911994934082031
131,9.825803756713867
156,9.90241813659668
170,9.911994934082031
195,9.90241813659668
205,9.892841339111328
206,9.931148529052734
216,9.921571731567383
236,9.883264541625977
237,9.84495735168457
246,9.84495735168457
263,9.864110946655273
266,9.864110946655273
298,9.883264541625977
299,9.90241813659668
308,9.911994934082031
338,9.931148529052734
350,9.90241813659668
372,9.873687744140625
402,9.883264541625977
427,9.911994934082031
449,9.90241813659668
450,9.892841339111328
462,9.90241813659668
466,9.90241813659668
476,9.883264541625977
488,9.883264541625977
496,9.883264541625977
512,9.883264541625977
516,9.892841339111328
537,9.892841339111328
546,9.892841339111328
562,9.940725326538086
566,9.84495735168457
587,9.892841339111328
588,9.940725326538086
596,9.864110946655273
610,9.96945571899414
616,9.911994934082031
635,9.854534149169922
636,9.892841339111328
646,9.921571731567383
662,9.883264541625977
666,9.998186111450195
688,9.950302124023438
696,9.959878921508789
714,9.854534149169922
716,9.854534149169922
741,9.883264541625977
746,9.911994934082031
776,9.864110946655273
803,9.873687744140625
804,9.940725326538086
806,9.950302124023438
816,9.892841339111328
857,9.921571731567383
866,9.892841339111328
900,9.959878921508789
906,9.873687744140625
916,9.921571731567383
936,9.873687744140625
946,9.84495735168457
970,9.825803756713867
976,9.921571731567383
998,9.90241813659668
999,9.90241813659668
1006,9.892841339111328
1016,9.883264541625977
1027,9.979032516479492
1055,9.979032516479492
1056,9.892841339111328
1058,9.96945571899414
1066,9.921571731567383
1082,9.90241813659668
1110,9.911994934082031
1111,9.854534149169922
1116,9.892841339111328
1150,9.84495735168457
1156,9.940725326538086
1166,9.90241813659668
1197,9.911994934082031
1198,9.84495735168457
1241,9.84495735168457
1242,9.892841339111328
1246,9.873687744140625
1291,9.892841339111328
1296,9.90241813659668
1348,9.892841339111328
1356,9.931148529052734
1366,9.940725326538086
1390,9.90241813659668
1396,9.90241813659668
1435,9.892841339111328
1436,9.883264541625977
1446,9.864110946655273
1466,9.864110946655273
1476,9.883264541625977
1495,9.892841339111328
1497,9.883264541625977
1524,9.864110946655273
1526,9.873687744140625
1551,9.864110946655273
1552,9.873687744140625
1556,9.873687744140625
1566,9.873687744140625
1578,9.892841339111328
1614,9.883264541625977
1616,9.921571731567383
1645,9.911994934082031
1646,9.911994934082031
1671,9.921571731567383
1676,9.816226959228516
1698,9.883264541625977
1726,10.132261276245117
1754,9.911994934082031
1755,10.20887565612793
1756,9.921571731567383
1766,9.940725326538086
1784,9.950302124023438
1786,9.701305389404297
1796,9.605537414550781
1813,9.768342971801758
1816,9.959878921508789
1864,9.998186111450195
1865,9.96945571899414
1866,9.768342971801758
1899,9.835380554199219
1906,9.979032516479492
1916,9.96945571899414
1948,9.90241813659668
1981,9.911994934082031
2008,9.864110946655273
2009,9.940725326538086
2016,9.739612579345703
2036,9.653421401977539
2046,9.988609313964844
2065,9.998186111450195
2066,9.90241813659668
2095,9.911994934082031
2096,9.864110946655273
2121,9.931148529052734
2126,9.816226959228516
2149,9.816226959228516
2180,9.911994934082031
2213,9.854534149169922
2217,9.883264541625977
2245,9.854534149169922
2246,9.816226959228516
2274,9.835380554199219
2275,9.921571731567383
2276,10.007762908935547
2303,9.959878921508789
2306,9.921571731567383
2316,9.806650161743164
2333,9.787496566772461
2336,9.825803756713867
2346,9.864110946655273
2370,9.806650161743164
2371,9.710882186889648
2376,9.701305389404297
2406,9.730035781860352
2416,9.825803756713867
2435,10.017339706420898
2436,10.113107681274414
2446,10.113107681274414
2465,10.017339706420898
2469,9.84495735168457
2476,9.758766174316406
2495,9.864110946655273
2496,9.873687744140625
2525,9.84495735168457
2526,10.055646896362305
2554,10.055646896362305
2556,9.950302124023438
2566,9.931148529052734
2582,9.873687744140625
2586,9.825803756713867
2596,9.84495735168457
2618,9.892841339111328
2626,9.84495735168457
2649,9.883264541625977
2677,9.787496566772461
2705,9.825803756713867
2708,9.84495735168457
2716,9.787496566772461
2734,10.266336441040039
2739,10.046070098876953
2746,9.691728591918945
2765,9.739612579345703
2766,9.873687744140625
2802,9.959878921508789
2806,10.007762908935547
2816,9.911994934082031
2834,9.854534149169922
2836,9.797073364257812
2846,9.835380554199219
2865,9.96945571899414
2866,9.854534149169922
2904,9.77791976928711
2905,9.90241813659668
2906,9.988609313964844
2916,9.90241813659668
2948,9.940725326538086
2956,9.84495735168457
2966,9.854534149169922
2991,9.979032516479492
2996,9.77791976928711
3023,9.892841339111328
3026,10.017339706420898
3053,9.90241813659668
3054,9.691728591918945
3056,9.576807022094727
3066,9.691728591918945
3095,9.835380554199219
3096,9.959878921508789
3135,9.84495735168457
3136,9.979032516479492
3146,9.998186111450195
3163,9.825803756713867
3202,9.940725326538086
3206,10.017339706420898
3232,9.873687744140625
3236,9.672574996948242
3246,9.768342971801758
3260,9.854534149169922
3288,10.160991668701172
3289,10.132261276245117
3296,9.998186111450195
3320,9.806650161743164
3326,9.739612579345703
3351,9.835380554199219
3356,9.883264541625977
3383,9.979032516479492
3386,9.950302124023438
3396,9.988609313964844
3414,9.816226959228516
3416,9.624691009521484
3447,9.816226959228516
3477,10.113107681274414
3508,9.768342971801758
3509,9.825803756713867
3516,9.825803756713867
3543,9.816226959228516
3546,10.017339706420898
3572,9.988609313964844
3576,9.931148529052734
3609,9.749189376831055
3637,9.959878921508789
3646,9.96945571899414
3667,9.758766174316406
3676,9.653421401977539
3696,9.90241813659668
3725,9.806650161743164
3726,9.892841339111328
3754,10.065223693847656
3756,9.854534149169922
3791,9.797073364257812
3796,9.797073364257812
3821,9.825803756713867
3826,9.950302124023438
3852,9.768342971801758
3856,9.940725326538086
3882,9.787496566772461
3886,9.730035781860352
3896,10.074800491333008
3909,10.08437728881836
3940,9.998186111450195
3941,9.864110946655273
3946,9.90241813659668
3969,9.825803756713867
3976,9.797073364257812
3999,9.892841339111328
4000,9.998186111450195
4006,10.074800491333008
4038,9.96945571899414
4046,9.864110946655273
4073,9.864110946655273
4077,9.931148529052734
4103,9.940725326538086
4106,9.979032516479492
4132,9.797073364257812
4136,9.758766174316406
4146,9.825803756713867
4160,9.835380554199219
4190,9.84495735168457
4196,9.883264541625977
4226,9.931148529052734
4253,9.864110946655273
4256,9.835380554199219
4283,9.825803756713867
4286,9.931148529052734
4296,9.959878921508789
4315,9.931148529052734
4316,9.864110946655273
4326,9.825803756713867
4341,9.816226959228516
4346,9.835380554199219
4369,9.854534149169922
4376,9.911994934082031
4394,9.84495735168457
4396,9.892841339111328
4419,9.911994934082031
4426,9.864110946655273
4445,9.864110946655273
4446,9.854534149169922
4475,9.873687744140625
4476,9.825803756713867
4505,9.854534149169922
4506,9.979032516479492
4531,9.931148529052734
4557,9.864110946655273
4583,9.825803756713867
4586,9.90241813659668
4596,9.911994934082031
4607,9.90241813659668
4632,9.90241813659668
4636,9.90241813659668
4646,9.864110946655273
4658,9.864110946655273
4684,9.883264541625977
4686,9.883264541625977
4696,9.892841339111328
4709,9.864110946655273
4737,9.84495735168457
4746,9.90241813659668
4764,9.921571731567383
4794,9.940725326538086
4796,9.84495735168457
4821,9.84495735168457
4826,9.892841339111328
4847,9.883264541625977
4877,9.921571731567383
4878,9.921571731567383
4906,9.90241813659668
4934,9.911994934082031
4936,9.864110946655273
4946,9.84495735168457
4965,9.883264541625977
4967,9.883264541625977
4976,9.883264541625977
4993,9.892841339111328
4996,9.931148529052734
5023,9.921571731567383
5026,9.90241813659668
5052,9.892841339111328
5056,9.864110946655273
5081,9.84495735168457
5086,9.873687744140625
5096,9.883264541625977
5110,9.883264541625977
5136,9.911994934082031
5146,9.931148529052734
5163,9.864110946655273
5190,9.873687744140625
5196,9.873687744140625
5223,9.84495735168457
5226,9.90241813659668
5255,9.883264541625977
5256,9.883264541625977
5281,9.892841339111328
5286,9.90241813659668
5296,9.883264541625977
5306,9.883264541625977
5339,9.90241813659668
5346,9.883264541625977
5369,9.864110946655273
5376,9.873687744140625
5395,9.911994934082031
5398,9.921571731567383
5419,9.931148529052734
5426,9.931148529052734
5446,9.854534149169922
5472,9.90241813659668
5476,9.911994934082031
5497,9.892841339111328
5522,9.911994934082031
5526,9.873687744140625
5555,9.864110946655273
5557,9.90241813659668
5585,9.892841339111328
5586,9.892841339111328
5596,9.883264541625977
5613,9.84495735168457
5648,9.883264541625977
5656,9.883264541625977
5687,9.892841339111328
5696,9.873687744140625
5715,9.883264541625977
5717,9.911994934082031
5726,9.940725326538086
5746,9.883264541625977
5778,9.873687744140625
5805,9.873687744140625
5807,9.854534149169922
5831,9.854534149169922
5836,9.892841339111328
5846,9.911994934082031
5858,9.911994934082031
5900,9.892841339111328
5906,9.873687744140625
5931,9.892841339111328
5936,9.873687744140625
5946,9.864110946655273
5956,9.873687744140625
5995,9.835380554199219
5997,9.892841339111328
6023,9.90241813659668
6026,9.911994934082031
6058,9.854534149169922
6087,9.835380554199219
6096,9.883264541625977
6118,9.873687744140625
6126,9.911994934082031
6148,9.864110946655273
6156,9.883264541625977
6175,9.873687744140625
6177,9.873687744140625
6204,9.864110946655273
6206,9.892841339111328
6230,9.883264541625977
6257,9.883264541625977
6285,9.835380554199219
6286,9.883264541625977
6296,9.864110946655273
6314,9.864110946655273
6318,9.864110946655273
6326,9.90241813659668
6345,9.90241813659668
6346,9.90241813659668
6375,9.892841339111328
6376,9.883264541625977
6406,9.873687744140625
6434,9.873687744140625
6436,9.873687744140625
6446,9.883264541625977
6466,9.864110946655273
6476,9.854534149169922
6490,9.883264541625977
6496,9.892841339111328
6524,9.883264541625977
6525,9.931148529052734
6526,9.921571731567383
6548,9.892841339111328
6556,9.864110946655273
6572,9.864110946655273
6576,9.854534149169922
6609,9.873687744140625
6633,9.864110946655273
6636,9.90241813659668
6646,9.883264541625977
6670,9.873687744140625
6676,9.921571731567383
6694,9.90241813659668
6696,9.873687744140625
6719,9.892841339111328
6726,9.892841339111328
6746,9.883264541625977
6773,9.892841339111328
6776,9.892841339111328
6808,9.911994934082031
6843,9.90241813659668
6846,9.873687744140625
6872,9.883264541625977
6876,9.883264541625977
6904,9.883264541625977
6906,9.873687744140625
6931,9.892841339111328
6932,9.921571731567383
6936,9.873687744140625
6946,9.892841339111328
6963,9.873687744140625
6967,9.873687744140625
6991,9.864110946655273
6996,9.911994934082031
7017,9.883264541625977
7026,9.873687744140625
7045,9.864110946655273
7046,9.864110946655273
7072,9.883264541625977
7076,9.911994934082031
7099,9.892841339111328
7106,9.892841339111328
7128,9.873687744140625
7164,9.883264541625977
7166,9.864110946655273
7176,9.90241813659668
7194,9.90241813659668
7196,9.892841339111328
7226,9.911994934082031
7254,9.84495735168457
7258,9.873687744140625
7280,9.90241813659668
7307,9.911994934082031
7308,9.90241813659668
7336,9.873687744140625
7346,9.883264541625977
7366,9.911994934082031
7376,9.90241813659668
7396,9.911994934082031
7422,9.90241813659668
7423,9.90241813659668
7426,9.90241813659668
7449,9.883264541625977
7456,9.911994934082031
7476,9.854534149169922
7508,9.892841339111328
7543,9.883264541625977
7546,9.892841339111328
7579,9.90241813659668
7610,9.873687744140625
7643,9.921571731567383
7646,9.892841339111328
7672,9.90241813659668
7676,9.883264541625977
7700,9.892841339111328
7706,9.883264541625977
7728,9.873687744140625
7754,9.90241813659668
7756,9.90241813659668
7790,9.873687744140625
7796,9.892841339111328
7820,9.864110946655273
7826,9.892841339111328
7849,9.90241813659668
7856,9.864110946655273
7876,9.883264541625977
7907,9.883264541625977
7932,9.883264541625977
7936,9.883264541625977
7946,9.84495735168457
7960,9.873687744140625
7988,9.911994934082031
7996,9.90241813659668
8021,9.892841339111328
8022,9.864110946655273
8026,9.892841339111328
8051,9.892841339111328
8056,9.864110946655273
8076,9.873687744140625
8104,9.892841339111328
8106,9.90241813659668
8142,9.921571731567383
8146,9.864110946655273
8170,9.835380554199219
8176,9.873687744140625
8195,9.892841339111328
8196,9.911994934082031
8223,9.90241813659668
8226,9.90241813659668
8251,9.90241813659668
8256,9.864110946655273
8285,9.84495735168457
8286,9.864110946655273
8296,9.854534149169922
8316,9.873687744140625
8326,9.873687744140625
8344,9.873687744140625
8349,9.892841339111328
8374,9.921571731567383
8375,9.921571731567383
8376,9.883264541625977
8402,9.854534149169922
8406,9.835380554199219
8427,9.864110946655273
8451,9.883264541625977
8456,9.883264541625977
8477,9.892841339111328
8507,9.911994934082031
8533,9.883264541625977
8536,9.873687744140625
8546,9.883264541625977
8560,9.892841339111328
8586,9.883264541625977
8596,9.892841339111328
8616,9.883264541625977
8626,9.90241813659668
8644,9.90241813659668
8646,9.873687744140625
8672,9.883264541625977
8676,9.854534149169922
8698,9.873687744140625
8706,9.90241813659668
8725,9.892841339111328
8726,9.892841339111328
8756,9.892841339111328
8786,10.007762908935547
8787,9.873687744140625
8796,9.911994934082031
8814,9.883264541625977
8816,9.864110946655273
8826,9.864110946655273
8843,9.911994934082031
8846,9.911994934082031
8881,9.883264541625977
8882,9.873687744140625
8886,9.90241813659668
8896,9.883264541625977
8914,9.873687744140625
8916,9.873687744140625
8926,9.883264541625977
8945,9.883264541625977
8946,9.911994934082031
8972,9.873687744140625
8976,9.873687744140625
9001,9.873687744140625
9006,9.873687744140625
9036,9.921571731567383
9046,9.90241813659668
9071,9.892841339111328
9076,9.892841339111328
9100,9.892841339111328
9106,9.921571731567383
9128,9.892841339111328
9155,9.864110946655273
9156,9.883264541625977
9183,9.84495735168457
9186,9.90241813659668
9196,9.873687744140625
9208,9.873687744140625
9238,9.921571731567383
9246,9.883264541625977
9267,9.873687744140625
9276,9.864110946655273
9303,9.883264541625977
9306,9.90241813659668
9332,9.883264541625977
9336,9.883264541625977
9346,9.873687744140625
9369,9.892841339111328
9376,9.883264541625977
9399,9.911994934082031
9406,9.90241813659668
9430,9.911994934082031
9436,9.911994934082031
9446,9.883264541625977
9461,9.873687744140625
9492,9.892841339111328
9496,9.873687744140625
9521,9.90241813659668
9526,9.883264541625977
9550,9.883264541625977
9556,9.90241813659668
9577,9.911994934082031
9608,9.90241813659668
9642,9.883264541625977
9646,9.921571731567383
9674,9.931148529052734
9677,9.883264541625977
9701,9.892841339111328
9706,9.873687744140625
9730,9.873687744140625
9736,9.883264541625977
9746,9.892841339111328
9764,9.911994934082031
9766,9.911994934082031
9776,9.90241813659668
9799,9.892841339111328
9806,9.883264541625977
9835,9.883264541625977
9836,9.883264541625977
9846,9.892841339111328
9867,9.90241813659668
9876,9.892841339111328
9897,9.911994934082031
9898,9.921571731567383
9906,9.883264541625977
9927,9.892841339111328
9961,9.892841339111328
9992,9.84495735168457
9996,9.911994934082031
10020,9.90241813659668
10026,9.90241813659668
10053,9.892841339111328
10056,9.873687744140625
10084,9.883264541625977
10086,9.911994934082031
10096,9.892841339111328
10116,9.90241813659668
10126,9.883264541625977
10146,9.921571731567383
10156,9.90241813659668
10176,9.911994934082031
10212,9.883264541625977
10240,9.883264541625977
10246,9.892841339111328
10270,9.864110946655273
10276,9.90241813659668
10300,9.90241813659668
10306,9.873687744140625
10346,9.883264541625977
10347,9.911994934082031
10356,9.892841339111328
10387,9.883264541625977
10396,9.911994934082031
10423,9.90241813659668
10426,9.90241813659668
10448,9.873687744140625
10456,9.892841339111328
10472,9.921571731567383
10476,9.911994934082031
10497,9.892841339111328
10506,9.892841339111328
10522,9.873687744140625
10526,9.911994934082031
10551,9.90241813659668
10556,9.864110946655273
10581,9.883264541625977
10586,9.892841339111328
10596,9.892841339111328
10606,9.90241813659668
10633,9.931148529052734
10636,9.873687744140625
10646,9.873687744140625
10661,9.883264541625977
10688,9.873687744140625
10696,9.864110946655273
10725,9.883264541625977
10729,9.911994934082031
10778,9.921571731567383
10786,9.84495735168457
10796,9.873687744140625
10818,9.883264541625977
10819,9.90241813659668
10826,9.892841339111328
10849,9.911994934082031
10856,9.921571731567383
10874,9.911994934082031
10876,9.883264541625977
10902,9.864110946655273
10906,9.873687744140625
10926,9.883264541625977
10927,9.892841339111328
10951,9.883264541625977
10956,9.892841339111328
10988,9.911994934082031
10996,9.90241813659668
11015,9.873687744140625
11016,9.90241813659668
11026,9.883264541625977
11042,9.873687744140625
11079,9.883264541625977
11086,9.90241813659668
11096,9.911994934082031
11106,9.911994934082031
11129,9.911994934082031
11136,9.873687744140625
11146,9.854534149169922
11156,9.84495735168457
11176,9.864110946655273
11202,9.911994934082031
11206,9.911994934082031
11229,9.911994934082031
11236,9.892841339111328
11253,9.892841339111328
11256,9.873687744140625
11279,9.854534149169922
11286,9.873687744140625
11296,9.892841339111328
11306,9.931148529052734
11330,9.940725326538086
11336,9.854534149169922
11355,9.873687744140625
11356,9.90241813659668
11381,9.921571731567383
11386,9.883264541625977
11408,9.864110946655273
11430,9.873687744140625
11436,9.921571731567383
11451,9.892841339111328
11456,9.90241813659668
11475,9.911994934082031
11478,9.864110946655273
11500,9.873687744140625
11506,9.864110946655273
11525,9.883264541625977
11526,9.873687744140625
11549,9.854534149169922
11556,9.892841339111328
11574,9.90241813659668
11576,9.883264541625977
11599,9.883264541625977
11606,9.864110946655273
11625,9.854534149169922
11626,9.84495735168457
11650,9.854534149169922
11656,9.883264541625977
11673,9.90241813659668
11676,9.873687744140625
11708,9.892841339111328
11709,9.873687744140625
11735,9.873687744140625
11736,9.883264541625977
11761,9.854534149169922
11787,9.873687744140625
11813,9.892841339111328
11816,9.883264541625977
11826,9.873687744140625
11841,9.864110946655273
11892,9.883264541625977
11921,9.864110946655273
11926,9.911994934082031
11950,9.998186111450195
11956,9.787496566772461
11975,9.835380554199219
11976,9.892841339111328
12003,9.90241813659668
12007,9.883264541625977
12032,9.892841339111328
12036,9.864110946655273
12061,9.825803756713867
12066,9.892841339111328
12076,9.950302124023438
12088,9.96945571899414
12113,9.825803756713867
12116,9.825803756713867
12126,9.864110946655273
12140,9.90241813659668
12165,9.873687744140625
12166,9.90241813659668
12176,9.892841339111328
12190,9.864110946655273
12214,9.84495735168457
12216,9.931148529052734
12226,9.873687744140625
12240,9.883264541625977
12265,9.911994934082031
12266,9.835380554199219
12276,9.816226959228516
12289,9.84495735168457
12314,9.864110946655273
12316,9.96945571899414
12326,10.055646896362305
12339,9.950302124023438
12365,9.768342971801758
12366,9.864110946655273
12376,9.921571731567383
12394,9.892841339111328
12421,9.911994934082031
12426,9.911994934082031
12446,9.892841339111328
12456,9.825803756713867
12471,9.883264541625977
12476,9.883264541625977
12497,9.854534149169922
12506,9.911994934082031
12525,9.90241813659668
12529,9.911994934082031
12550,9.825803756713867
12556,9.883264541625977
12583,9.911994934082031
12586,9.873687744140625
12613,9.873687744140625
12616,9.883264541625977
12626,9.873687744140625
12640,9.883264541625977
12665,9.864110946655273
12666,9.873687744140625
12676,9.854534149169922
12706,9.84495735168457
12760,9.90241813659668
12792,9.90241813659668
